Date,Year,Month,Avg_Temp,Max_Temp,Min_Temp,Rain,Max_Wind,Avg_Wind,Avg_Gust,Sun_Hours,Clouds,Pressure,Snow
2011-07-01,2011,7,27.451612903225808,32.377419354838715,22.006451612903227,0.8999999999999999,13.0,7.006451612903225,30.816129032258065,438.4853527777778,12.483870967741936,1013,0.0
2011-08-01,2011,8,26.70967741935484,31.81935483870968,21.335483870967742,8.2,12.929032258064517,6.606451612903226,30.258064516129032,401.85344166666664,12.96774193548387,1013,0.0
2011-09-01,2011,9,24.333333333333332,29.30666666666667,19.383333333333333,49.5,10.966666666666667,5.943333333333333,26.77,334.39534444444445,25.333333333333332,1013,0.0
2011-10-01,2011,10,14.219354838709679,18.73225806451613,9.970967741935485,49.400000000000006,10.683870967741935,6.72258064516129,24.883870967741935,276.48065833333334,44.03225806451613,1013,0.0
2011-11-01,2011,11,7.073333333333333,12.086666666666668,3.0566666666666666,16.1,7.696666666666667,4.989999999999999,17.55,223.74120277777777,48.0,1013,0.0
2011-12-01,2011,12,5.390322580645161,10.461290322580645,1.5161290322580645,57.99999999999999,10.061290322580644,6.829032258064516,21.40967741935484,223.11455555555554,49.935483870967744,1013,14.700000000000001
2012-01-01,2012,1,2.2193548387096773,6.919354838709677,-1.3161290322580643,37.9,12.548387096774194,8.148387096774194,28.374193548387098,236.1226,34.516129032258064,1013,0.56
2012-02-01,2012,2,3.5172413793103448,7.693103448275862,-0.4241379310344827,56.2,13.37241379310345,8.717241379310344,31.92413793103448,173.03248333333332,67.62068965517241,1013,19.39
2012-03-01,2012,3,10.225806451612904,15.516129032258064,5.251612903225807,30.1,11.764516129032257,6.751612903225807,27.183870967741935,278.90327777777776,44.45161290322581,1013,0.07
2012-04-01,2012,4,15.06,20.013333333333332,10.26,50.6,13.733333333333333,7.34,32.85333333333333,312.2482277777778,48.43333333333333,1013,0.0
2012-05-01,2012,5,20.13225806451613,24.822580645161292,15.448387096774193,72.6,12.490322580645161,6.861290322580645,31.22258064516129,361.81011944444447,46.41935483870968,1013,0.0
2012-06-01,2012,6,26.82,31.93,21.53666666666667,2.5,12.203333333333335,6.533333333333333,29.836666666666666,439.131725,11.066666666666666,1013,0.0
2012-07-01,2012,7,29.835483870967742,35.28387096774193,23.76451612903226,0.30000000000000004,13.103225806451613,6.583870967741936,30.81935483870968,438.8367888888889,8.838709677419354,1013,0.0
