Date,Max_Wind,Avg_Wind,Avg_Gust
2025-10-23,8.7,4.8,20.5
2025-10-24,10.6,5.4,24.1
2025-10-25,12.1,6.0,25.9
2025-10-26,12.0,5.3,25.9
2025-10-27,23.8,7.8,48.2
2025-10-28,24.0,11.2,52.6
2025-10-29,8.3,4.5,17.6
2025-10-30,7.4,3.6,18.4
2025-10-31,4.6,2.9,15.1
2025-11-01,7.5,3.2,16.6
2025-11-02,7.1,4.2,14.8
2025-11-03,7.7,3.9,18.0
2025-11-04,23.6,17.3,50.0
2025-11-05,21.2,12.3,43.6
2025-11-06,7.1,4.2,16.9
2025-11-07,7.2,4.3,20.2
2025-11-08,13.5,8.0,31.3
2025-11-09,10.3,4.0,22.3
2025-11-10,12.3,5.1,28.4
2025-11-11,23.1,14.8,48.6
2025-11-12,18.8,11.4,42.5
2025-11-13,7.7,3.9,17.3
2025-11-14,7.9,3.6,18.0
2025-11-15,5.6,3.3,13.7
2025-11-16,6.4,2.9,13.7
2025-11-17,6.2,3.7,14.4
2025-11-18,9.1,4.3,17.3
2025-11-19,11.9,4.6,22.0
2025-11-20,12.9,5.8,27.0
2025-11-21,10.7,6.3,25.9
2025-11-22,14.7,6.2,32.0
2025-11-23,15.7,5.7,33.5
2025-11-24,5.1,2.6,13.3
2025-11-25,8.1,4.7,16.6
2025-11-26,11.4,4.9,25.6
2025-11-27,13.3,7.1,36.0
2025-11-28,15.1,9.9,34.9
2025-11-29,18.3,14.9,38.5
2025-11-30,18.4,14.0,38.5
2025-12-01,12.8,7.6,27.0
2025-12-02,6.1,3.5,12.2
2025-12-03,11.1,6.5,23.0
2025-12-04,19.1,15.1,40.3
2025-12-05,24.0,13.2,51.1
2025-12-06,19.3,12.0,44.3
2025-12-07,13.0,10.5,27.4
2025-12-08,20.5,14.5,42.1
2025-12-09,11.5,7.1,25.6
2025-12-10,8.3,5.1,20.9
2025-12-11,6.7,3.7,14.4
2025-12-12,18.9,11.7,40.0
2025-12-13,16.1,10.8,38.5
2025-12-14,12.1,9.0,27.7
2025-12-15,15.2,6.6,33.8
2025-12-16,6.5,4.3,16.2
2025-12-17,5.5,3.0,12.6
